cust_id	month	amount
0000000004	201705	435
0000000008	201710	157
0000000002	201706	5120
0000000010	201708	2275
0000000017	201705	6596
0000000019	201801	178
0000000013	201801	7224
0000000015	201706	9565
0000000010	201703	5499
0000000015	201711	3963
0000000021	201802	8062
0000000008	201705	7294
0000000014	201705	4651
0000000011	201712	8377
0000000011	201804	9830
0000000006	201701	7021
0000000010	201803	7342
0000000014	201712	8751
0000000017	201803	795
0000000010	201701	3896
0000000020	201703	3221
0000000014	201706	72
0000000017	201708	9183
0000000006	201805	4796
0000000013	201708	4226
0000000008	201706	4942
0000000011	201702	7957
0000000014	201709	7451
0000000012	201701	7342
0000000009	201712	8901
0000000007	201707	9844
0000000014	201710	7991
0000000003	201707	8173
0000000012	201706	549
0000000013	201704	6470
0000000019	201707	2985
0000000010	201704	7293
0000000007	201805	3401
0000000020	201703	6884
0000000015	201703	4333
0000000012	201702	3275
0000000013	201706	5334
0000000009	201803	3127
0000000015	201711	8086
0000000017	201710	3546
0000000015	201706	9330
0000000004	201707	9374
0000000017	201806	6439
0000000021	201804	2141
0000000003	201802	9993
0000000014	201710	5470
0000000011	201702	5444
0000000008	201710	6275
0000000004	201702	5004
0000000016	201705	8788
0000000021	201706	1309
0000000007	201709	9254
0000000012	201710	3742
0000000013	201706	1260
0000000018	201705	7717
0000000021	201805	5178
0000000014	201709	9506
0000000002	201712	9460
0000000015	201711	4108
0000000021	201702	4182
0000000011	201704	6823
0000000008	201703	5699
0000000007	201804	1079
0000000013	201703	8475
0000000008	201707	1456
0000000013	201706	9615
0000000009	201710	1189
0000000021	201801	1679
0000000006	201804	3068
0000000014	201702	2776
0000000016	201702	3748
0000000018	201806	7522
0000000020	201701	3713
0000000010	201703	8422
0000000015	201802	4864
0000000015	201702	9380
0000000012	201804	5755
0000000020	201708	9036
0000000002	201803	6390
0000000010	201801	8120
0000000011	201701	463
0000000021	201710	403
0000000002	201704	1143
0000000010	201805	5757
0000000020	201803	1786
0000000015	201805	1087
0000000012	201802	485
0000000006	201710	3278
0000000016	201805	8
0000000009	201708	2842
0000000004	201709	3759
0000000008	201707	8367
0000000004	201802	5752
0000000007	201803	2438
0000000016	201710	9755
0000000014	201709	3783
0000000005	201710	6421
0000000017	201712	6116
0000000020	201703	5133
0000000016	201702	2003
0000000018	201705	9391
0000000008	201707	19
0000000017	201803	6662
0000000002	201707	7403
0000000003	201712	34
0000000011	201709	7956
0000000017	201708	4129
0000000017	201805	9706
0000000009	201702	9054
0000000014	201805	5969
0000000018	201711	3014
0000000003	201706	3268
0000000004	201706	9316
0000000020	201702	6868
0000000013	201708	8421
0000000010	201709	2946
0000000002	201801	2091
0000000017	201710	472
0000000006	201804	6552
0000000011	201702	8311
0000000020	201801	3690
0000000009	201803	0
0000000016	201702	265
0000000018	201806	6216
0000000010	201801	6379
0000000013	201707	6738
0000000004	201804	6827
0000000011	201801	2952
0000000018	201709	4691
0000000016	201701	6625
0000000013	201704	4720
0000000011	201711	4009
0000000003	201704	9993
0000000013	201805	4807
0000000021	201701	782
0000000012	201701	2506
0000000013	201801	1188
0000000018	201701	6968
0000000008	201708	5534
0000000006	201712	5557
0000000007	201711	7181
0000000021	201705	6538
0000000012	201709	8699
0000000010	201802	7957
0000000014	201804	7735
0000000016	201806	3888
0000000005	201712	2456
0000000018	201708	4583
0000000018	201709	8732
0000000010	201709	4312
0000000019	201803	8341
0000000004	201706	7839
0000000007	201706	3830
0000000012	201708	6263
0000000016	201702	813
0000000006	201708	6460
0000000021	201702	7792
0000000020	201710	9367
0000000013	201702	7285
0000000007	201705	4330
0000000007	201805	6676
0000000018	201712	8838
0000000018	201710	1639
0000000003	201708	4804
0000000019	201805	9713
0000000005	201710	3445
0000000009	201704	5399
0000000003	201711	6469
0000000011	201712	5701
0000000015	201802	4788
0000000007	201806	6922
0000000021	201709	5301
0000000014	201805	5924
0000000007	201706	7984
0000000002	201701	548
0000000015	201804	530
0000000011	201712	2702
0000000010	201703	4421
0000000012	201801	77
0000000002	201803	4972
0000000014	201708	6438
0000000009	201710	9018
0000000006	201707	7605
0000000017	201706	8863
0000000015	201806	5272
0000000018	201708	4526
0000000016	201707	3684
0000000014	201801	5018
0000000013	201806	2175
0000000013	201710	9451
0000000018	201707	1377
0000000005	201704	3934
0000000019	201705	8371
0000000012	201701	8308
0000000005	201803	8458
0000000021	201701	2522
0000000003	201804	7724
0000000020	201711	297
0000000007	201712	1389
0000000010	201703	9495
0000000019	201712	6380
0000000016	201703	2864
0000000002	201801	985
0000000010	201712	796
0000000003	201802	7913
0000000008	201711	4361
0000000019	201801	221
0000000013	201712	2127
0000000015	201806	9939
0000000004	201801	6641
0000000011	201701	6359
0000000007	201705	5550
0000000003	201702	3980
0000000021	201703	3174
0000000005	201702	2095
0000000010	201710	3451
0000000004	201704	2303
0000000007	201703	291
0000000007	201806	1889
0000000006	201703	6631
0000000009	201709	8895
0000000018	201707	6461
0000000006	201701	3500
0000000010	201712	5798
0000000012	201801	5489
0000000009	201705	5817
0000000013	201703	1471
0000000011	201705	6001
0000000007	201707	9916
0000000005	201702	1022
0000000007	201803	8685
0000000002	201703	8799
0000000015	201712	7928
0000000011	201707	2945
0000000013	201707	8372
0000000005	201701	6574
0000000010	201701	5379
0000000019	201804	9224
0000000019	201707	4072
0000000002	201711	6096
0000000019	201805	3196
0000000003	201706	3550
0000000009	201701	48
0000000018	201801	7782
0000000017	201705	7585
0000000020	201701	5659
0000000013	201702	5666
0000000012	201805	1681
0000000011	201709	9979
0000000015	201707	5732
0000000013	201702	1013
0000000010	201704	1992
0000000013	201806	4670
0000000004	201801	4841
0000000013	201804	6328
0000000012	201701	1441
0000000017	201706	7378
0000000006	201804	8352
