transid	date	cust_id	POS_id	trans_type	amount
20180215000090003	15-02-2018	0000000009	M0003	2	897
20171127000070008	27-11-2017	0000000011	M0008	3	407
20171010000140009	10-10-2017	0000000000	F0009	6	148
20170805000190005	05-08-2017	0000000017	M0005	0	596
20170725000010004	25-07-2017	0000000002	M0004	1	128
20180410000090001	10-04-2018	0000000012	M0001	3	921
20170816000000016	16-08-2017	0000000010	F0016	4	212
20170711000080008	11-07-2017	0000000003	M0008	1	840
20180314000180006	14-03-2018	0000000017	M0006	2	510
20180602000080010	02-06-2018	0000000000	M0010	1	693
20171105000120017	05-11-2017	0000000007	M0017	1	216
20170827000070006	27-08-2017	0000000001	F0006	4	21
20180206000120001	06-02-2018	0000000006	M0001	1	640
20170825000000009	25-08-2017	0000000000	M0009	1	839
20170913000170012	13-09-2017	0000000014	M0012	3	641
20170710000030003	10-07-2017	0000000000	F0003	4	16
20171223000130010	23-12-2017	0000000012	F0010	6	409
20180505000080013	05-05-2018	0000000008	M0013	1	170
20180421000100006	21-04-2018	0000000016	M0006	0	816
20180129000000007	29-01-2018	0000000019	M0007	3	523
20171225000030015	25-12-2017	0000000015	M0015	1	245
20180228000090008	28-02-2018	0000000014	F0008	4	404
20180420000160015	20-04-2018	0000000001	M0015	0	557
20180322000160005	22-03-2018	0000000014	M0005	0	929
20180507000110008	07-05-2018	0000000008	M0008	2	866
20180611000120019	11-06-2018	0000000014	M0019	0	65
20180308000010019	08-03-2018	0000000002	M0019	0	515
20170801000110003	01-08-2017	0000000011	M0003	2	111
20180204000000000	04-02-2018	0000000011	M0000	3	143
20170914000090006	14-09-2017	0000000002	M0006	1	496
20180524000150010	24-05-2018	0000000012	F0010	5	604
20171228000130001	28-12-2017	0000000012	F0001	4	265
20180115000070017	15-01-2018	0000000014	M0017	1	34
20171026000120004	26-10-2017	0000000002	F0004	5	950
20170720000190002	20-07-2017	0000000012	M0002	1	225
20170713000110017	13-07-2017	0000000018	M0017	1	997
20180614000030001	14-06-2018	0000000001	M0001	3	779
20180312000010002	12-03-2018	0000000007	F0002	4	573
20170915000140009	15-09-2017	0000000017	M0009	3	920
20180518000180006	18-05-2018	0000000000	M0006	1	61
20180328000140000	28-03-2018	0000000007	M0000	2	802
20180527000120001	27-05-2018	0000000003	M0001	2	260
20171202000040001	02-12-2017	0000000002	F0001	4	296
20180113000160000	13-01-2018	0000000012	F0000	5	156
20180323000160017	23-03-2018	0000000004	M0017	3	554
20170706000190003	06-07-2017	0000000017	M0003	0	349
20170906000090003	06-09-2017	0000000012	F0003	6	525
20180223000140009	23-02-2018	0000000010	F0009	4	523
20170828000020004	28-08-2017	0000000008	M0004	0	510
20180112000020018	12-01-2018	0000000009	F0018	6	359
20180608000110014	08-06-2018	0000000006	F0014	4	52
20171213000160019	13-12-2017	0000000013	M0019	1	585
20180115000120001	15-01-2018	0000000002	F0001	6	784
20180103000160011	03-01-2018	0000000016	M0011	1	704
20180210000070016	10-02-2018	0000000010	F0016	5	508
20170809000150013	09-08-2017	0000000015	F0013	5	982
20180612000190006	12-06-2018	0000000015	F0006	4	97
20170812000140004	12-08-2017	0000000016	M0004	1	595
20180619000140004	19-06-2018	0000000015	F0004	6	618
20171023000190009	23-10-2017	0000000011	M0009	1	332
20180110000050014	10-01-2018	0000000005	F0014	6	583
20180602000120015	02-06-2018	0000000008	M0015	2	68
20180608000110005	08-06-2018	0000000008	F0005	4	278
20180621000180000	21-06-2018	0000000016	M0000	1	195
20170704000170011	04-07-2017	0000000002	M0011	2	783
20180104000150015	04-01-2018	0000000007	F0015	6	646
20170828000030016	28-08-2017	0000000017	F0016	4	936
20180214000160002	14-02-2018	0000000000	M0002	1	505
20180107000010012	07-01-2018	0000000004	F0012	4	856
20171110000120008	10-11-2017	0000000002	F0008	6	175
20180430000150007	30-04-2018	0000000005	M0007	3	3
20180131000130003	31-01-2018	0000000004	M0003	3	426
20180324000090004	24-03-2018	0000000008	M0004	2	658
20171104000060010	04-11-2017	0000000015	M0010	3	789
20180515000140005	15-05-2018	0000000016	M0005	0	673
20170728000030009	28-07-2017	0000000012	M0009	0	467
20171204000140015	04-12-2017	0000000012	M0015	0	80
20180105000190011	05-01-2018	0000000017	M0011	1	282
20171124000090012	24-11-2017	0000000013	M0012	0	610
20171022000170005	22-10-2017	0000000002	F0005	4	534
20180308000060007	08-03-2018	0000000003	M0007	0	687
20180421000050019	21-04-2018	0000000013	M0019	0	276
20180114000060007	14-01-2018	0000000019	M0007	0	749
20180310000040001	10-03-2018	0000000016	F0001	5	104
20170905000040003	05-09-2017	0000000004	M0003	2	348
20170923000060003	23-09-2017	0000000001	F0003	5	397
20180518000050009	18-05-2018	0000000018	M0009	2	572
20170926000030018	26-09-2017	0000000019	F0018	4	439
20170806000020019	06-08-2017	0000000013	M0019	3	245
20171120000140013	20-11-2017	0000000001	F0013	4	918
20171126000180011	26-11-2017	0000000013	F0011	6	421
20170915000000005	15-09-2017	0000000012	M0005	3	18
20170824000070012	24-08-2017	0000000018	M0012	3	868
20171102000080009	02-11-2017	0000000002	F0009	6	832
20171023000110011	23-10-2017	0000000006	M0011	1	57
20180330000120019	30-03-2018	0000000007	M0019	2	33
20170904000150016	04-09-2017	0000000014	M0016	3	777
20170904000010018	04-09-2017	0000000013	M0018	2	720
20180501000110018	01-05-2018	0000000006	M0018	0	692
20170820000130000	20-08-2017	0000000007	M0000	0	721
20180615000040018	15-06-2018	0000000005	M0018	3	299
20171128000150012	28-11-2017	0000000007	F0012	6	992
20171210000030016	10-12-2017	0000000017	F0016	5	917
20171020000170001	20-10-2017	0000000008	M0001	3	828
20180627000070018	27-06-2018	0000000012	F0018	6	496
20180324000120016	24-03-2018	0000000003	M0016	2	449
20180331000080014	31-03-2018	0000000019	M0014	2	571
20171023000100001	23-10-2017	0000000004	M0001	0	45
20171207000020002	07-12-2017	0000000011	M0002	1	938
20180507000110006	07-05-2018	0000000016	M0006	0	707
20180511000030013	11-05-2018	0000000003	F0013	4	818
20180119000070005	19-01-2018	0000000017	M0005	2	113
20180116000100017	16-01-2018	0000000014	M0017	0	456
20171122000000008	22-11-2017	0000000005	M0008	2	328
20170823000160018	23-08-2017	0000000001	F0018	5	410
20180117000080003	17-01-2018	0000000005	F0003	6	676
20180415000010001	15-04-2018	0000000001	M0001	0	480
20180107000110002	07-01-2018	0000000010	M0002	2	913
20180630000020014	30-06-2018	0000000015	F0014	6	756
20171016000020018	16-10-2017	0000000004	M0018	1	900
20180421000190003	21-04-2018	0000000009	M0003	0	322
20180410000020016	10-04-2018	0000000008	M0016	3	846
20170714000090000	14-07-2017	0000000005	M0000	1	485
20171126000120006	26-11-2017	0000000005	M0006	3	171
20180618000180017	18-06-2018	0000000013	F0017	4	355
20180212000130008	12-02-2018	0000000013	F0008	6	683
20171122000180004	22-11-2017	0000000007	F0004	5	440
20180413000150000	13-04-2018	0000000013	M0000	2	622
20180517000070002	17-05-2018	0000000002	F0002	4	724
20171008000050018	08-10-2017	0000000009	M0018	0	928
20170717000000016	17-07-2017	0000000007	M0016	2	451
20180105000070001	05-01-2018	0000000012	F0001	5	764
20180509000120001	09-05-2018	0000000000	M0001	0	343
20170909000000000	09-09-2017	0000000012	F0000	6	753
